,Index,country_name_UN,country_id,city_name,type,citycode,y_coord,x_coord,pop,x_coord_OSM,y_coord_OSM
187,188,Serbia,688,Beograd (Belgrade),Capital,23241,44.817649,20.463309,1180.795,2277965,5592859
188,189,Seychelles,690,Victoria,Capital,22444,-4.61667,55.45,26.062,6172665,-514482
189,190,Sierra Leone,694,Freetown,Capital,22445,8.484,-13.22994,985.902,-1472750,947904
190,191,Singapore,702,Singapore,Capital,22447,1.28967,103.85007,5517.102,11560536,143577
191,192,Sint Maarten (Dutch part),534,Philipsburg,Capital,206154,18.026,-63.04582,46.085,-7018228,2040592
192,193,Slovakia,703,Bratislava,Capital,22448,48.14816,17.10674,403.212,1904313,6131538
193,194,Slovenia,705,Ljubljana,Capital,22474,46.05108,14.50513,278.903,1614703,5788538
194,195,Solomon Islands,90,Honiara,Capital,20311,-9.43333,159.95,73.302,17805552,-1054890
195,196,Somalia,706,Muqdisho (Mogadishu),Capital,22477,2.041636,45.343492,2013.926,5047614,227321
196,197,South Africa,710,Bloemfontein,Judiciary Capital,22479,-29.12106,26.214,495.998,2918129,-3391063
197,198,South Africa,710,Cape Town,Legislative Capital,22481,-33.92584,18.42322,3623.556,2050863,-4018848
198,199,South Africa,710,Pretoria,Administrative Capital,22501,-25.74486,28.18783,1990.69,3137854,-2967514
199,200,South Sudan,728,Juba,Capital,22577,4.85165,31.58247,306.569,3515744,540729
200,201,Spain,724,Madrid,Capital,22549,40.4165,-3.70256,6132.672,-412167,4926652
201,202,Sri Lanka,144,Colombo,Capital,20414,6.93194,79.84778,704.227,8888614,773549
202,203,Sri Lanka,144,Sri Jayewardenepura Kotte,Legislative Capital,20418,6.90278,79.90833,127.534,8895354,770279
203,204,State of Palestine,275,Ramallah,Capital,21016,31.90256,35.19555,83.046,3917950,3750526
204,205,Sudan,729,Al-Khartum (Khartoum),Capital,22579,15.55177,32.53241,4999.787,3621491,1752872
205,206,Suriname,740,Paramaribo,Capital,22587,5.86638,-55.16682,234.483,-6141142,654186
206,207,Swaziland,748,Mbabane,Capital,22588,-26.31667,31.13333,65.99,3465746,-3038355
207,208,Sweden,752,Stockholm,Capital,22597,59.33258,18.0649,1463.748,2010975,8252620
208,209,Switzerland,756,Bern,Capital,22601,46.94809,7.44744,357.609,829045,5933605
209,210,Syrian Arab Republic,760,Dimashq (Damascus),Capital,22610,33.508586,36.308444,2573.845,4041837,3963006
210,211,Tajikistan,762,Dushanbe,Capital,22615,38.53575,68.77905,800.745,7656448,4655388
211,212,TFYR Macedonia,807,Skopje,Capital,22802,42.0,21.43333,501.303,2385947,5160979
212,213,Thailand,764,Krung Thep (Bangkok),Capital,22617,13.721964,100.525248,9097.872,11190419,1542337
213,214,Timor-Leste,626,Dili,Capital,22172,-8.560095,125.566848,228.136,13978037,-956470
214,215,Togo,768,Lomé,Capital,22628,6.13748,1.21227,929.52,134949,684531
215,216,Tokelau,772,Tokelau,Others,22629,-9.38,-171.25,…,-19063462,-1048872
216,217,Tonga,776,Nuku'alofa,Capital,22630,-21.139441,-175.203246,24.998,-19503536,-2408513
217,218,Trinidad and Tobago,780,Port of Spain,Capital,22631,10.66617,-61.51657,34.387,-6847993,1194270
218,219,Tunisia,788,Tunis,Capital,22646,36.81897,10.16579,1978.066,1131650,4413903
219,220,Turkey,792,Ankara,Capital,22656,39.91987,32.85427,4643.663,3657320,4854304
220,221,Turkmenistan,795,Ashgabat,Capital,22739,37.95,58.38333,735.482,6499202,4572364
221,222,Turks and Caicos Islands,796,Cockburn Town,Capital,22742,21.46122,-71.14188,5.055,-7919477,2446959
222,223,Tuvalu,798,Funafuti,Capital,22743,-8.518892,179.199098,5.816,19948352,-951832
223,224,Uganda,800,Kampala,Capital,22744,0.31628,32.58219,1862.764,3627032,35208
