,country_name,country_id,x_coord,y_coord
10,Equatorial Guinea,226.0,"[9.825, 9.992, 11.333, 11.333, 9.951, 9.387, 9.816, 9.825]","[2.337, 2.169, 2.172, 1.0, 0.921, 1.104, 1.908, 2.337]"
11,Eritrea,232.0,"[38.568, 38.923, 39.238, 39.712, 39.854, 39.875, 40.21, 40.529, 40.78, 41.19, 41.689, 42.231, 42.387, 42.552, 42.786, 43.075, 43.125, 42.813, 42.404, 40.942, 40.133, 39.93, 39.587, 39.251, 39.154, 38.455, 37.915, 37.528, 37.312, 37.018, 36.547, 36.433, 36.958, 36.859, 37.002, 37.405, 37.512, 38.243, 38.568]","[17.99, 17.415, 16.078, 15.095, 15.168, 15.508, 14.949, 15.022, 14.707, 14.624, 13.936, 13.64, 13.21, 13.23, 12.843, 12.837, 12.71, 12.421, 12.469, 14.082, 14.547, 14.415, 14.609, 14.409, 14.653, 14.413, 14.894, 14.184, 14.448, 14.252, 14.266, 15.167, 16.284, 16.535, 17.079, 17.058, 17.339, 17.551, 17.99]"
12,French Southern Territories,260.0,"[69.042, 68.968, 69.128, 68.968, 68.905, 68.898, 69.103, 69.185, 68.987, 69.627, 69.659, 69.341, 69.549, 69.407, 69.798, 70.33, 70.529, 70.542, 70.326, 70.385, 69.613, 69.947, 70.309, 70.144, 70.252, 70.227, 69.862, 69.771, 69.672, 69.691, 69.442, 69.3, 69.313, 69.232, 69.127, 69.224, 69.064, 69.096, 68.778, 68.902, 68.809, 68.929, 68.761, 68.927, 68.735, 68.892, 68.785, 69.042]","[-48.655, -48.769, -48.733, -48.805, -48.86, -48.9, -48.765, -48.779, -49.087, -48.975, -49.118, -49.111, -49.244, -49.276, -49.295, -49.05, -49.103, -49.302, -49.348, -49.45, -49.383, -49.596, -49.553, -49.633, -49.662, -49.703, -49.711, -49.533, -49.482, -49.66, -49.643, -49.469, -49.583, -49.491, -49.472, -49.583, -49.548, -49.691, -49.73, -49.455, -49.35, -49.324, -49.222, -49.146, -49.08, -48.996, -48.846, -48.655]"
13,Gabon,266.0,"[11.669, 13.247, 13.125, 13.263, 13.152, 13.805, 14.284, 14.482, 13.949, 13.818, 14.502, 14.521, 14.103, 13.867, 13.94, 13.763, 13.49, 12.997, 12.651, 12.442, 12.514, 11.977, 11.725, 11.592, 11.524, 11.534, 11.958, 11.901, 11.667, 11.442, 11.153, 9.62, 9.265, 8.699, 8.853, 9.009, 9.13, 9.352, 9.502, 9.515, 9.603, 9.63, 9.745, 9.801, 9.839, 9.76, 9.987, 9.507, 9.31, 9.502, 9.537, 9.494, 9.458, 9.446, 9.445, 9.664, 9.551, 9.663, 9.951, 11.333, 11.333, 11.669]","[2.315, 2.274, 1.582, 1.329, 1.236, 1.437, 1.334, 0.823, 0.355, -0.154, -0.572, -1.432, -2.513, -2.47, -2.353, -2.089, -2.436, -2.365, -1.812, -1.876, -2.422, -2.338, -2.552, -2.365, -2.374, -2.844, -3.413, -3.65, -3.746, -3.504, -3.96, -2.408, -1.882, -0.633, -0.852, -0.635, -0.714, 0.358, 0.05, 0.175, 0.029, 0.156, 0.115, 0.022, 0.013, 0.135, 0.172, 0.284, 0.512, 0.67, 0.593, 0.601, 0.591, 0.577, 0.562, 0.452, 0.941, 1.06, 0.921, 1.0, 2.172, 2.315]"
14,Ghana,288.0,"[-0.138, 0.024, -0.059, 0.398, 0.384, 0.229, 0.567, 0.528, 0.374, 0.73, 0.589, 0.52, 0.658, 0.532, 0.75, 1.199, 0.928, 0.642, 0.674, 0.18, -1.982, -3.106, -2.757, -2.724, -2.775, -3.026, -3.232, -2.953, -2.781, -2.493, -2.618, -2.78, -2.657, -2.768, -2.933, -2.837, -0.618, -0.138]","[11.125, 11.063, 10.632, 10.309, 9.592, 9.463, 9.406, 8.878, 8.754, 8.341, 8.202, 7.46, 7.317, 6.829, 6.444, 6.112, 5.783, 5.871, 5.759, 5.748, 4.755, 5.091, 5.102, 5.388, 5.616, 5.709, 6.822, 7.238, 7.952, 8.206, 8.921, 9.063, 9.254, 10.417, 10.624, 10.997, 10.912, 11.125]"
15,Guinea,324.0,"[-8.139, -7.849, -7.914, -7.727, -7.975, -7.689, -7.638, -8.189, -8.243, -7.981, -7.943, -8.062, -8.183, -8.676, -8.838, -9.108, -9.207, -9.482, -9.352, -9.479, -9.648, -10.323, -10.701, -10.464, -10.574, -10.73, -10.663, -11.208, -12.439, -12.786, -13.302, -13.216, -13.306, -13.41, -13.476, -13.724, -13.537, -14.034, -14.03, -14.456, -14.527, -14.665, -14.54, -14.701, -14.619, -14.748, -14.73, -14.809, -14.815, -14.627, -14.978, -14.664, -13.708, -13.697, -13.958, -13.658, -13.708, -13.063, -13.062, -12.893, -12.359, -11.433, -11.497, -11.311, -10.934, -10.672, -10.34, -9.695, -9.319, -9.405, -9.158, -8.772, -8.849, -8.353, -8.672, -8.289, -8.325, -7.945, -8.164, -8.139]","[9.535, 9.422, 9.189, 9.073, 8.83, 8.647, 8.376, 8.507, 8.235, 8.193, 8.018, 8.037, 7.561, 7.698, 7.276, 7.191, 7.389, 7.367, 7.75, 8.354, 8.492, 8.506, 8.28, 8.672, 9.051, 9.081, 9.311, 10.0, 9.88, 9.303, 9.037, 9.176, 9.337, 9.277, 9.57, 9.507, 9.797, 10.003, 10.17, 10.209, 10.521, 10.467, 10.828, 10.63, 10.81, 10.69, 10.913, 10.82, 10.934, 11.016, 10.972, 11.505, 11.701, 12.008, 12.18, 12.32, 12.675, 12.644, 12.485, 12.555, 12.307, 12.442, 12.188, 12.024, 12.232, 11.901, 12.227, 12.032, 12.28, 12.467, 12.49, 11.977, 11.654, 11.376, 10.962, 11.019, 10.591, 10.253, 9.949, 9.535]"
16,Guinea-Bissau,624.0,"[-15.212, -13.708, -13.658, -13.958, -13.697, -13.708, -14.664, -15.078, -15.005, -15.235, -15.192, -15.408, -15.345, -15.505, -15.284, -15.176, -15.185, -15.075, -15.034, -15.263, -15.427, -15.402, -15.55, -15.382, -15.163, -15.011, -15.009, -14.951, -14.94, -14.939, -15.404, -15.956, -15.854, -16.101, -16.352, -16.014, -16.448, -16.667, -15.685, -15.212]","[12.684, 12.675, 12.32, 12.18, 12.008, 11.701, 11.505, 10.919, 11.183, 10.998, 11.124, 11.199, 11.417, 11.337, 11.62, 11.561, 11.638, 11.575, 11.643, 11.743, 11.542, 11.682, 11.717, 11.889, 11.879, 11.919, 11.95, 11.96, 11.972, 11.989, 11.965, 11.735, 11.992, 11.878, 12.097, 12.345, 12.181, 12.359, 12.43, 12.684]"
17,Kenya,404.0,"[35.424, 35.597, 37.029, 38.127, 38.536, 39.553, 39.866, 40.761, 41.197, 41.907, 40.994, 40.994, 41.559, 41.282, 41.227, 41.008, 41.043, 40.945, 40.876, 40.775, 40.959, 40.896, 40.751, 40.77, 40.186, 40.125, 39.782, 39.825, 39.698, 39.566, 39.674, 39.399, 39.206, 37.6, 37.712, 37.602, 33.934, 33.911, 34.526, 34.831, 34.772, 35.033, 34.955, 34.456, 34.463, 34.089, 33.992, 34.377, 35.424]","[4.994, 4.625, 4.388, 3.61, 3.659, 3.405, 3.871, 4.285, 3.937, 3.983, 2.823, -0.84, -1.662, -1.982, -1.886, -2.054, -1.865, -2.085, -1.948, -1.934, -2.308, -2.218, -2.256, -2.454, -2.736, -3.281, -3.614, -3.835, -4.062, -4.026, -4.092, -4.648, -4.679, -3.521, -3.311, -3.012, -1.0, 0.105, 1.106, 1.266, 1.42, 1.914, 2.47, 3.179, 3.667, 3.858, 4.219, 4.617, 4.994]"
18,Liberia,430.0,"[-9.762, -9.479, -9.406, -9.482, -9.207, -9.108, -8.872, -8.676, -8.55, -8.275, -8.602, -7.903, -7.744, -7.425, -7.369, -7.601, -7.533, -9.046, -11.499, -10.607, -10.606, -10.302, -10.277, -9.762]","[8.549, 8.354, 8.05, 7.367, 7.389, 7.191, 7.256, 7.698, 7.701, 7.005, 6.506, 6.285, 5.933, 5.845, 5.334, 4.894, 4.361, 4.985, 6.924, 7.775, 8.039, 8.197, 8.49, 8.549]"
19,Libya,434.0,"[11.627, 12.383, 13.388, 15.205, 15.742, 17.853, 19.058, 19.625, 20.064, 20.174, 19.921, 20.1, 20.651, 21.631, 22.147, 23.107, 23.094, 23.32, 25.032, 25.149, 24.86, 25.016, 24.697, 25.0, 25.0, 24.0, 24.0, 16.0, 14.189, 13.5, 12.0, 11.603, 11.422, 10.897, 10.215, 10.028, 9.4, 9.914, 9.781, 9.966, 9.783, 9.391, 9.908, 10.246, 10.134, 10.276, 11.595, 11.495, 11.627]","[33.112, 32.818, 32.898, 32.382, 31.398, 30.925, 30.267, 30.422, 30.862, 31.161, 31.76, 32.182, 32.584, 32.929, 32.94, 32.635, 32.309, 32.153, 31.938, 31.657, 31.404, 30.777, 30.156, 29.253, 20.0, 20.0, 19.5, 23.449, 22.644, 23.178, 23.5, 24.266, 24.201, 24.555, 24.648, 25.354, 26.195, 26.646, 27.264, 27.883, 29.427, 30.168, 30.356, 30.749, 31.479, 31.673, 32.454, 32.916, 33.112]"
